ID,seconds_to_first_goal_switch,total_returns,cluster,cluster-category-oor
227,166.05,1,3,low-returns_slow-reframe
228,181.267,4,3,low-returns_slow-reframe
229,27.7,0,1,low-returns_fast-reframe
230,33.534,1,1,low-returns_fast-reframe
232,36.6,0,1,low-returns_fast-reframe
234,206.482,1,3,low-returns_slow-reframe
235,175.85,1,3,low-returns_slow-reframe
236,37.984,0,1,low-returns_fast-reframe
237,65.75,0,1,low-returns_fast-reframe
238,20.666,1,1,low-returns_fast-reframe
239,57.784,0,1,low-returns_fast-reframe
240,36.084,0,1,low-returns_fast-reframe
241,119.6,3,2,high-returns_fast-reframe
242,71.884,1,1,low-returns_fast-reframe
243,42.5,4,2,high-returns_fast-reframe
244,47.733,0,1,low-returns_fast-reframe
245,82.6,0,1,low-returns_fast-reframe
246,27.933,2,1,low-returns_fast-reframe
247,136.567,1,3,low-returns_slow-reframe
248,41.634,0,1,low-returns_fast-reframe
250,230.916,2,3,low-returns_slow-reframe
251,85.05,0,1,low-returns_fast-reframe
252,39.167,0,1,low-returns_fast-reframe
253,103.05,0,1,low-returns_fast-reframe
254,27.9,1,1,low-returns_fast-reframe
255,52.666,0,1,low-returns_fast-reframe
256,32.083,1,1,low-returns_fast-reframe
257,6.55,0,1,low-returns_fast-reframe
