ID,seconds_to_first_goal_switch_lvl3,total_returns_lvl3,lvl3_goals,lvl3_av_rf,seconds_to_first_goal_switch_lvl1,total_returns_lvl1,lvl1_goals,lvl1_av_rf,total_returns_lvl2,seconds_to_first_goal_switch_lvl2,lvl2_goals,lvl2_av_rf,len_levels_complete
225,42.45,3,1.8,72.29,34.767,0,0.68,61.36,5,21.016,4.54,13.79,32
226,29.1,0,1.8,72.29,34.516,0,0.68,61.36,0,15.05,4.54,13.79,55
227,26.567,5,1.8,72.29,166.05,1,0.68,61.36,6,6.95,4.54,13.79,45
230,72.117,1,1.8,72.29,33.534,1,0.68,61.36,2,6.583,4.54,13.79,73
235,71.167,2,1.8,72.29,175.85,1,0.68,61.36,1,17,4.54,13.79,38
236,170.65,1,1.8,72.29,37.984,0,0.68,61.36,1,30.633,4.54,13.79,57
237,60.266,0,1.8,72.29,65.75,0,0.68,61.36,7,22.95,4.54,13.79,44
240,82.533,2,1.8,72.29,36.084,0,0.68,61.36,4,16.4,4.54,13.79,39
241,0,0,1.8,72.29,119.6,3,0.68,61.36,2,6.517,4.54,13.79,34
242,80.15,10,1.8,72.29,71.884,1,0.68,61.36,0,34.366,4.54,13.79,37
248,46.084,3,1.8,72.29,41.634,0,0.68,61.36,4,7.817,4.54,13.79,22
251,296.117,2,1.8,72.29,85.05,0,0.68,61.36,3,2.5,4.54,13.79,31
252,7.467,2,1.8,72.29,39.167,0,0.68,61.36,15,14.133,4.54,13.79,28
