ID,Session_timestamp,Level_timestamp,Event_type,Event,Details,epoch_time,Ruleset,win_or_quit,goals,impasses,time_offset
187,0:2:17:566,0:1:20:716,input,undo,,1651511785566.0,"['wall is stop ', 'baba is you ']",,goal_0,,116
187,0:2:17:683,0:1:20:833,input,undo,,1651511785683.0,"['wall is stop ', 'baba is you ']",,goal_0,,117
187,0:2:17:800,0:1:20:950,input,undo,,1651511785800.0,"['wall is stop ', 'baba is you ']",,goal_0,,117
187,0:2:17:900,0:1:21:050,input,undo,,1651511785900.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:000,0:1:21:150,input,undo,,1651511786000.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:100,0:1:21:250,input,undo,,1651511786100.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:200,0:1:21:350,input,undo,,1651511786200.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:300,0:1:21:450,input,undo,,1651511786300.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:400,0:1:21:550,input,undo,,1651511786400.0,"['wall is stop ', 'baba is you ']",,goal_0,,100
187,0:2:18:483,0:1:21:633,input,undo,,1651511786483.0,"['wall is stop ', 'baba is you ']",,goal_0,,83
187,0:2:18:566,0:1:21:716,input,undo,,1651511786566.0,"['wall is stop ', 'baba is you ']",,goal_0,,83
187,0:2:18:650,0:1:21:800,input,undo,,1651511786650.0,"['wall is stop ', 'baba is you ']",,goal_0,,84
187,0:2:18:733,0:1:21:883,input,undo,,1651511786733.0,"['wall is stop ', 'baba is you ']",,goal_0,,83
187,0:2:18:816,0:1:21:966,input,undo,,1651511786816.0,"['wall is stop ', 'baba is you ']",,goal_0,,83
187,0:2:18:900,0:1:22:050,input,undo,,1651511786900.0,"['wall is stop ', 'baba is you ']",,goal_0,,84
187,0:2:18:966,0:1:22:116,input,undo,,1651511786966.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:19:033,0:1:22:183,input,undo,,1651511787033.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:100,0:1:22:250,input,undo,,1651511787100.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:166,0:1:22:316,input,undo,,1651511787166.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:19:233,0:1:22:383,input,undo,,1651511787233.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:300,0:1:22:450,input,undo,,1651511787300.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:366,0:1:22:516,input,undo,,1651511787366.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:19:433,0:1:22:583,input,undo,,1651511787433.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:500,0:1:22:650,input,undo,,1651511787500.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:566,0:1:22:716,input,undo,,1651511787566.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:19:633,0:1:22:783,input,undo,,1651511787633.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:700,0:1:22:850,input,undo,,1651511787700.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:766,0:1:22:916,input,undo,,1651511787766.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:19:833,0:1:22:983,input,undo,,1651511787833.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:900,0:1:23:050,input,undo,,1651511787900.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:19:966,0:1:23:116,input,undo,,1651511787966.0,"['wall is stop ', 'baba is you ']",,goal_0,,66
187,0:2:20:033,0:1:23:183,input,undo,,1651511788033.0,"['wall is stop ', 'baba is you ']",,goal_0,,67
187,0:2:20:950,0:1:24:100,change,update,text_flag:4:2:1,1651511788950.0,"['wall is stop ', 'baba is you ']",,goal_0,,917
187,0:2:20:950,0:1:24:100,change,update,baba:4:3:1,1651511788950.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:20:950,0:1:24:100,input,up,,1651511788950.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:116,0:1:24:266,change,update,text_flag:4:1:1,1651511789116.0,"['wall is stop ', 'baba is you ']",,goal_0,,166
187,0:2:21:116,0:1:24:266,change,update,baba:4:2:1,1651511789116.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:116,0:1:24:266,input,up,,1651511789116.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:600,0:1:24:750,change,update,baba:4:2:2,1651511789600.0,"['wall is stop ', 'baba is you ']",,goal_0,,484
187,0:2:21:600,0:1:24:750,change,update,baba:3:2:2,1651511789600.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:600,0:1:24:750,input,left,,1651511789600.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:950,0:1:25:100,change,update,baba:3:2:0,1651511789950.0,"['wall is stop ', 'baba is you ']",,goal_0,,350
187,0:2:21:950,0:1:25:100,change,update,baba:4:2:0,1651511789950.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:21:950,0:1:25:100,input,right,,1651511789950.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:22:116,0:1:25:266,change,update,baba:5:2:0,1651511790116.0,"['wall is stop ', 'baba is you ']",,goal_0,,166
187,0:2:22:116,0:1:25:266,input,right,,1651511790116.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
187,0:2:22:933,0:1:26:083,change,update,baba:5:2:2,1651511790933.0,"['wall is stop ', 'baba is you ']",,goal_0,,817
187,0:2:22:933,0:1:26:083,change,update,baba:4:2:2,1651511790933.0,"['wall is stop ', 'baba is you ']",,goal_0,,0
